Standard Deviation Duration
27017.706470124296
9995757323086.295
198064002230862.4
152292109838603.22
42176050341641.58
109500894705950.16
280916202807004.22
109603801054938.73
470076682985837.44
1157423350886604.5
2012959826143786.2
1745654114893747.5
618303766997592.9
1254556873391043.8
839362803064908.4
523607476285241.06
619369306519164.0
573972397345270.2
1011957947081948.2
373465044779037.2
888525818752903.5
1513875683957296.5
946684972959952.8
545427878620176.94
1104392830790790.4
405434830748289.44
445682747442016.9
975474716469666.2
1061485951964047.1
801162726124297.0
916565855035298.2
1235412997680994.5
1340810362641132.2
719630933221133.6
549894939136482.4
692179607515367.9
440176944255649.0
571917484553505.0
552300477093144.75
706329235067034.4
952073667227519.8
674431018210136.8
744973358952194.8
1099443764601890.4
2574022727014309.5
960603002952916.1
613555782635726.9
136415673903191.7
918035994804456.1
790194817944387.0
380213206308330.75
1720174653067733.5
867864975411513.5
1044941731536955.5
1465392535694256.5
1316247510812552.2
1879954980572410.8
1187870965668888.2
1394035777237490.5
1503853766005444.0
592081269151184.5
2294934065242545.5
3319231124097582.0
1384287366441883.0
2471375001314592.0
1152778458200954.2
2688727818557915.5
967687002655037.5
3256684902406753.0
1567411241476618.2
3404895014175159.5
2853703899556048.0
999033236518758.1
3768347728378640.0
2614593816156160.5
2073286338087673.5
1396658107616221.0
1419238520107411.5
670809202066235.5
1300880017616764.0
1279871616250419.0
337456040908070.3
1321128311592026.5
4385088760878626.0
1939739754174109.8
1411964140122960.2
1849810646372236.8
1288139702729351.8
3474896398674741.5
1901026112092429.2
3960814753893270.0
3019299221860742.0
1323589611532755.0
9491086163661286.0
5725222963416702.0
1749606157971052.8
3392307320049220.5
3572730164412897.0
1437475036626446.8
1919127250988835.2
2153411045669857.5
5990912954887992.0
1657255227765732.5
2514441171501023.0
2830956059584797.0
3645625787355471.0
4667960736281575.0
3350009789571088.5
1897436567561743.2
3220312305693787.5
7818236433954087.0
2389793096311639.0
2859188753146022.5
4673224816516377.0
3309486143420954.5
2780788283749342.5
2981858809632580.0
3741346974329864.5
5000429318500317.0
1695422513761020.2
1356605633735709.8
1927386742064704.5
5358963682578960.0
6386228672538748.0
4951008682995217.0
9052218113197576.0
2392036600573896.5
1522162274226900.0
2652198453141317.5
1440494215909409.0
1456341121764482.2
1502503696065453.2
4108432407182354.5
1123140655974049.1
1457519721698752.2
549076332824372.4
1402215835071452.5
8425730532798183.0
4561308026260151.0
2790943179523536.0
2194786333566713.8
2419529562818553.5
4238568272601431.5
3167602634276685.5
2088513745429177.5
2436148255861376.0
8223294890599289.0
2222113025951173.5
4583789980063794.0
1567841722175689.0
4902815596107986.0
2434798682227574.5
3462075976481692.0
2918888378032212.0
4333715650593428.0
2993519668290717.5
5376190062761161.0
5385682288171074.0
3602195779205680.5
3141381577803300.0
5372569757897641.0
3965534705955385.5
3769042221753386.5
4678195666598400.0
4992183601056579.0
5932415306702724.0
5248804160397078.0
3741414013979250.5
6070502524058174.0
